time,e1,e2,e3,e4,e5,e6,e7,e8
8.611,40,98,61,79,452,180,49,128
8.634,44,90,47,62,458,178,50,125
8.648,43,84,38,56,480,183,49,123
8.672,43,85,43,53,416,236,53,125
8.695,49,97,49,55,400,234,54,133
8.709,51,120,72,74,385,228,56,93
8.732,53,123,76,77,386,230,60,92
8.755,54,124,77,76,336,232,60,99
8.769,53,126,77,76,300,211,67,92
8.792,49,122,73,75,297,213,69,82
8.815,49,95,49,58,269,195,64,96
8.837,40,79,45,54,287,194,59,99
8.851,49,98,50,64,279,191,63,98
8.896,54,112,52,70,264,229,63,101
8.92,54,104,55,89,272,233,64,99
8.927,51,110,66,87,265,220,67,89
8.943,60,134,99,113,290,233,74,93
8.972,62,146,105,117,312,260,73,86
8.986,60,139,107,118,302,210,68,96
9.01,61,141,110,110,303,198,62,103
9.016,61,143,106,115,380,191,73,123
9.032,56,133,76,92,344,209,70,117
9.055,49,109,66,82,323,184,70,129
9.084,48,109,64,79,355,182,68,120
9.091,48,114,73,88,364,181,71,115
9.114,55,107,77,94,295,180,55,80
9.137,54,95,87,98,294,130,50,73
9.151,59,103,97,111,298,109,51,59
9.174,59,99,100,119,306,89,56,77
9.196,60,99,95,113,290,85,53,75
9.212,56,117,101,122,293,75,51,78
9.234,64,145,126,140,294,72,54,78
9.257,63,151,139,153,310,86,58,73
9.279,62,153,142,155,277,86,53,51
9.301,60,152,141,168,302,88,55,76
9.317,64,142,141,164,291,97,63,80
9.339,63,127,123,159,351,102,65,86
9.355,68,144,116,157,384,93,61,87
9.376,68,138,112,150,498,92,60,86
9.43,69,152,111,134,479,82,57,65
9.445,66,154,106,131,477,74,49,66
9.447,65,143,102,122,445,73,45,108
9.468,59,140,109,127,422,74,38,111
9.489,62,149,110,135,297,70,49,119
9.512,60,128,105,131,301,75,51,118
9.519,64,126,102,127,363,70,50,117
9.543,58,143,98,120,350,62,46,83
9.566,58,153,77,103,338,63,54,84
9.587,67,176,119,148,333,68,54,77
9.596,70,179,122,152,325,61,57,85
9.617,64,172,119,152,326,69,58,93
9.638,63,156,117,152,357,78,61,113
9.678,62,119,107,140,370,72,55,108
9.708,56,72,51,76,405,72,45,111
9.71,51,65,44,65,400,71,42,111
9.792,48,68,46,59,359,63,47,111
9.794,51,77,44,55,340,51,47,92
9.814,49,71,43,59,332,65,50,94
9.817,45,94,51,74,343,68,49,104
9.835,46,96,53,83,371,71,46,94
9.838,46,93,56,93,385,76,45,95
9.859,43,100,59,95,389,125,48,117
9.903,52,100,57,90,438,167,61,120
9.905,57,105,60,96,435,175,60,118
9.926,58,115,68,97,408,181,61,123
9.947,62,120,72,95,413,182,63,134
9.97,64,117,74,93,409,173,63,117
9.992,61,105,77,93,354,154,52,103
10.007,57,116,85,83,341,168,52,99
10.031,56,106,81,75,329,168,52,89
10.053,49,100,78,74,369,168,48,70
10.074,66,127,77,76,406,185,53,90
10.1,61,137,78,78,410,168,53,90
10.104,68,127,80,85,399,145,53,96
10.128,69,126,76,87,421,142,50,101
10.152,71,144,82,89,351,141,52,94
10.172,63,122,84,87,298,78,43,76
10.181,66,120,81,84,287,74,40,92
10.202,58,115,74,73,304,75,44,91
10.241,66,125,83,72,259,68,46,97
10.249,65,124,80,60,296,62,42,96
10.261,57,122,79,65,277,55,44,115
10.278,53,122,77,72,317,60,52,115
10.299,57,148,79,81,311,55,54,114
10.314,47,143,76,88,350,62,53,105
10.337,86,128,81,102,372,75,55,110
10.359,94,133,86,120,403,79,60,87
10.374,99,171,92,132,370,80,58,64
10.397,99,156,92,131,384,85,53,57
10.419,99,153,92,129,358,85,53,79
10.434,71,156,93,127,337,81,58,75
10.458,60,161,94,117,335,81,51,73
10.479,56,131,105,131,305,75,48,82
10.494,51,135,114,154,279,73,50,82
10.517,49,133,113,154,288,69,52,58
10.539,42,124,105,150,319,72,45,55
10.556,40,113,101,146,327,89,50,74
10.578,49,117,106,134,378,91,54,68
10.601,54,103,96,120,406,89,52,71
10.622,54,101,93,116,411,94,56,79
10.637,59,104,94,117,434,86,57,83
10.658,59,102,89,115,430,65,50,61
10.674,48,58,56,97,407,62,46,83
10.698,43,63,39,75,414,71,47,80
10.721,43,81,42,80,406,69,43,85
10.742,37,77,38,72,333,71,41,83
10.757,38,77,40,67,312,71,47,89
10.795,50,88,52,75,290,74,46,78
10.857,53,106,58,78,297,65,45,78
10.859,53,108,61,78,310,60,41,71
10.87,55,107,60,78,380,68,45,83
10.895,54,107,63,79,422,66,42,85
10.898,43,97,52,65,451,62,40,84
10.9,42,87,48,59,413,62,42,85
10.922,40,74,44,53,482,68,45,95
10.938,44,86,55,77,474,70,48,94
10.967,47,100,52,75,464,71,49,110
10.99,48,113,55,77,448,71,48,110
10.997,47,101,54,78,467,71,46,122
11.019,48,108,52,81,410,73,45,111
11.042,46,115,47,61,371,64,39,104
11.058,55,126,64,77,339,66,37,99
11.079,81,144,77,87,332,68,40,118
11.104,93,179,104,109,323,71,48,108
11.146,95,178,111,115,320,75,51,110
11.173,94,172,109,115,294,80,49,108
11.194,90,164,101,113,331,84,51,104
11.215,72,172,100,106,311,84,49,88
11.238,93,145,84,102,349,83,51,105
11.267,93,147,82,106,317,81,53,116
11.291,98,151,88,117,392,81,56,120
11.327,97,149,99,113,357,72,53,111
11.351,94,113,90,114,390,71,56,117
11.381,59,105,80,108,335,66,47,110
11.402,58,105,76,106,385,63,45,96
11.426,75,95,69,99,333,60,40,94
11.448,84,99,71,106,338,69,40,101
11.477,87,115,79,115,317,69,35,86
11.507,92,119,106,128,352,71,36,97
11.531,91,116,109,118,314,72,32,97
11.567,76,148,113,114,291,69,35,96
11.583,65,143,104,103,300,63,38,88
11.604,59,129,103,98,359,77,37,87
11.619,53,122,81,84,376,84,38,58
11.643,52,120,75,88,367,79,39,56
11.664,49,85,70,94,364,80,43,57
11.674,50,92,104,116,384,79,44,74
11.694,53,99,108,116,347,67,47,71
11.711,48,110,103,107,323,61,45,70
11.724,49,111,104,108,392,67,45,70
11.747,44,106,105,108,430,70,45,73
11.763,50,132,103,118,418,70,43,57
11.787,54,138,100,114,453,76,46,112
11.788,57,133,99,120,450,71,48,115
11.793,60,143,114,136,398,68,49,117
11.808,60,145,112,134,440,62,45,120
11.809,54,118,85,108,467,74,48,119
11.814,49,101,77,108,436,81,46,84
11.822,44,102,78,101,456,92,48,100
11.83,36,81,50,74,478,93,47,105
11.845,42,96,56,70,449,96,49,102
11.921,40,93,58,82,415,86,47,105
11.923,40,95,58,79,396,71,44,95
11.944,40,92,56,76,381,78,41,88
11.947,44,98,57,74,348,92,43,82
11.958,39,77,51,72,304,93,43,99
11.966,35,71,42,60,305,95,42,98
11.979,40,103,57,73,331,98,45,100
12.002,47,139,73,88,365,124,56,103
12.024,49,136,75,93,444,135,60,106
12.039,50,137,77,94,442,133,60,101
12.062,58,145,76,95,496,138,60,98
12.085,63,133,65,86,493,144,66,117
12.099,59,91,46,68,492,139,63,115
12.122,58,91,41,73,422,146,58,117
12.145,63,106,46,76,432,150,59,119
12.159,57,104,56,79,356,148,60,123
12.19,110,103,70,79,330,146,52,110
12.212,115,129,78,81,301,184,54,101
12.219,116,129,78,70,311,173,56,110
12.256,113,117,82,71,312,176,52,98
12.279,115,112,80,81,365,178,52,101
12.302,74,148,82,106,364,190,55,106
12.317,78,127,77,108,378,129,47,109
12.332,98,131,83,110,382,114,46,111
12.354,116,146,82,109,365,113,53,109
12.371,122,168,99,120,321,125,63,112
12.392,116,134,98,108,341,104,61,112
12.399,117,139,97,109,289,103,58,126
12.422,108,147,98,117,255,103,57,118
12.444,101,150,99,123,249,98,52,120
12.461,97,129,97,110,234,73,42,114
12.484,98,133,90,103,194,65,39,112
12.506,93,138,92,99,186,63,43,91
12.527,85,156,103,98,221,61,47,108
12.542,76,149,117,104,256,62,46,106
12.564,69,145,103,94,246,63,42,102
12.579,72,191,118,94,335,76,46,106
12.604,67,193,119,93,334,75,42,110
12.624,68,174,114,95,316,77,36,85
12.647,65,180,109,116,294,65,37,86
12.684,65,186,112,127,340,70,38,86
12.701,59,138,99,132,300,61,38,72
12.729,56,125,98,134,359,71,40,79
12.775,52,117,87,128,366,79,44,99
12.782,53,117,94,130,382,85,46,97
12.806,52,145,104,143,431,89,49,98
12.842,59,150,101,142,422,87,52,99
12.874,59,148,99,139,375,81,52,86
12.894,58,151,101,138,437,75,52,82
12.92,51,133,76,108,429,71,50,81
12.924,50,94,54,84,383,65,48,89
12.932,38,79,49,76,401,76,49,96
12.94,42,83,53,85,413,78,52,100
12.941,42,77,46,83,367,82,53,93
12.955,42,82,44,80,371,82,57,111
12.97,42,84,44,72,340,79,56,109
12.992,42,86,43,71,338,79,51,119
13.031,38,81,41,64,347,76,50,116
13.033,42,85,49,67,345,75,50,117
13.054,57,145,53,68,336,77,47,107
13.068,56,151,56,65,389,105,45,105
13.081,55,148,56,70,354,105,47,92
13.105,61,151,58,68,347,158,49,95
13.127,59,154,50,63,330,162,51,105
13.141,47,99,48,63,370,163,54,100
13.164,50,90,48,62,380,150,54,107
13.187,51,89,54,60,434,145,55,111
13.202,49,92,52,60,431,95,52,110
13.225,93,93,59,62,419,142,66,104
13.255,102,94,61,66,404,171,76,104
13.261,113,104,70,84,352,173,78,95
13.285,113,107,69,83,292,177,75,81
13.307,113,103,68,82,308,173,75,84
13.322,83,112,63,82,344,135,62,102
13.369,73,121,64,79,364,99,49,109
13.39,59,115,64,70,434,125,54,107
13.397,62,122,69,69,426,126,57,106
13.419,75,121,70,70,403,124,59,107
13.434,96,122,73,74,381,119,57,104
13.457,99,118,72,78,342,119,58,108
13.472,97,112,86,79,244,89,57,110
13.487,94,121,84,87,318,83,55,110
13.503,82,127,87,97,344,80,52,105
13.526,82,123,87,90,353,80,50,103
13.557,102,119,86,90,371,68,49,94
13.577,102,119,73,88,404,58,39,103
13.591,104,100,76,96,352,54,41,105
13.614,104,98,74,93,365,55,46,109
13.628,87,108,89,100,353,60,48,85
13.644,60,108,102,104,335,61,48,96
13.666,70,124,123,122,311,76,52,83
13.689,73,148,154,146,428,76,53,84
13.706,81,151,169,166,403,79,51,76
13.735,76,145,167,167,398,77,48,74
13.749,74,151,161,163,411,78,44,46
13.772,64,150,163,173,415,62,45,43
13.787,64,139,152,190,314,63,47,81
13.809,59,154,164,211,352,68,51,85
13.84,61,150,162,210,358,63,52,85
13.847,68,151,177,230,342,65,55,95
13.877,71,159,186,230,347,68,51,101
13.909,68,174,186,213,362,66,44,72
13.93,73,170,179,198,347,65,49,113
13.937,72,163,180,200,362,69,50,115
13.959,63,155,169,180,367,77,47,108
13.982,57,166,137,158,341,84,51,105
13.991,53,167,122,139,310,91,59,122
14.006,45,162,101,101,279,93,58,95
14.028,52,174,111,104,320,95,57,97
