time,e1,e2,e3,e4,e5,e6,e7,e8
6.497,116,110,74,62,65,66,87,102
6.527,115,98,70,58,66,64,80,96
6.542,110,85,71,61,64,64,74,96
6.557,114,88,68,66,68,67,78,95
6.579,107,87,70,68,77,65,78,88
6.602,98,74,64,68,79,66,71,83
6.617,91,76,60,71,80,64,71,87
6.639,120,100,64,70,84,71,81,112
6.662,150,136,82,65,86,75,94,140
6.677,166,158,89,65,88,90,109,154
6.7,178,170,96,61,87,97,114,164
6.721,176,173,96,59,87,98,120,162
6.745,165,171,96,59,91,94,114,150
6.759,136,143,83,60,87,93,102,126
6.782,124,120,74,58,82,85,87,117
6.805,118,119,68,58,79,81,84,113
6.819,118,120,71,58,79,84,76,115
6.842,110,122,72,62,77,83,81,113
6.865,107,122,72,64,83,79,80,112
6.879,99,120,73,62,80,71,77,103
6.902,83,104,72,66,80,63,73,95
6.925,85,93,70,65,78,59,71,90
6.939,77,69,59,60,72,55,64,84
6.962,80,70,63,58,72,54,67,85
6.985,81,74,62,62,72,54,68,86
6.999,87,79,61,52,76,61,69,87
7.022,120,108,71,52,80,74,81,98
7.045,143,129,82,52,86,89,92,130
7.059,166,160,91,58,92,105,109,157
7.082,181,176,96,59,92,109,115,173
7.105,185,181,100,61,89,107,119,176
7.118,171,176,99,63,85,104,115,175
7.145,180,210,123,69,98,110,115,173
7.166,188,238,157,84,101,143,143,176
